player,score,platform,style,proof level,vid pb,notes,proof link,time,editor
KunfusingPoke,1222740,Console,Roll,Video,1222740,19 start,,1655642797066,NerdTheBox
KunfusingPoke,1258200,Console,Roll,Video,1258200,,,1660564798994,NerdTheBox
KunfusingPoke,1310420,Console,Roll,Image,1258200,,https://www.youtube.com/watch?v=E5tTiyr6HAU,1670038740774,NerdTheBox
KunfusingPoke,1448740,Console,Roll,Partial Video,1258200,,https://www.twitch.tv/classictetrisleague/v/1843126397?sr=a&t=3562s,1686660180355,Noah Dengler
Alex H,1107400,Console,DAS,Video,1107400,,,1639675791298,MegaTech
wide,1120000,Console,DAS,Video,,,,1654085388761,NerdTheBox
wide,1123526,Console,DAS,Claim,1120000,,,1660129415796,NerdTheBox
wide,1128480,Emulator,DAS,Video,1128480,,,1675600907371,NerdTheBox
wide,1130700,Emulator,DAS,Video,1130700,,,1684955714152,Samual Finch
Fham,1165540,Emulator,Tap,Claim,1019160,. 1.0X video PB,,1588388424026,Hydrantdude
David Vulich,1120662,Console,DAS,Video,1120662,,,1587398624074,Hydrantdude
Jeoslapha,1151440,Emulator,DAS,Video,1151440,,,1633375335271,NerdTheBox
Gerald Freeman,1199880,Console,Roll,Video,,previous pb 1199860,,1641218970240,NerdTheBox
Gerald Freeman,1222800,Console,Roll,Video,,,,1641468123486,Hydrantdude
Gerald Freeman,1237680,Console,Roll,Video,,19 start,,1641672830460,NerdTheBox
Gerald Freeman,1266980,Console,Roll,Video,,,,1643244615991,NerdTheBox
Gerald Freeman,1281460,Console,Roll,Video,,,,1644222959953,Hydrantdude
Gerald Freeman,1308134,Console,Roll,Video,,,,1646556951723,DTFPS
Gerald Freeman,1461960,Console,Roll,Video,,,,1646742696556,NerdTheBox
Gerald Freeman,1691440,Console,Roll,Video,1691440,Platypus onesie WR. Skipped 1.5,https://youtu.be/rbNUPj2d3fk,1647383443267,NerdTheBox
Gerald Freeman,1761140,Console,Roll,Video,1761140,,,1660478947256,NerdTheBox
Gerald Freeman,2186740,Console,Roll,Video,2186740,,,1660523250885,NerdTheBox
Gerald Freeman,4266520,Console,Roll,Video+,4266520,19 start WR,https://www.youtube.com/watch?v=165pq0TTE_c,1663711749690,Hydrantdude
Father Esteban,1151840,Console,Tap,Video,1151840,,,1682103032559,Samual Finch
Is1x~,1122091,Emulator,Tap,Image,920000,,,1633822909477,NerdTheBox
Arden,1103868,Emulator,Tap,Video,1103868,first max,,1661475220916,NerdTheBox
Vischer,1153200,Console,Tap,Video,,,,1611702232177,Hydrantdude
Vischer,1207400,Console,Tap,Video,,,,1624402287945,Hydrantdude
Vischer,1229280,Console,Tap,Video,,,,1633544795978,Hydrantdude
Vischer,1279260,Console,Tap,Video,,,,1634629287264,NerdTheBox
Vischer,1295260,Console,Tap,Video,1295260,,https://www.youtube.com/watch?v=Ld5-pWbW4j8,1638535752855,NerdTheBox
